CF GLID,Franchise Designation,Latitude,Longitude,Address,CF Buildout Type,Wire Center,CF CFAS,Justification,MDU LUs,MTU BUs,Mixed BU/LUs,E-RATE LUs,SFU,CRAN,Created Date,"# Associated",CF Loc ID,CF Loc Name,Created By,Last Updated By,Last Updated Date,DA,PSA,Fiber Cable Name,CF Full Strand Count,City,State,Zip,PSA Completion Date
0000190KM5,IF,33.85300501,-86.64209279,2524 SPUNKY HOLLOW RD,OB,PNSNALMA,A02SZL1,CF ACCESS LOOP,0,0,0,0,0,0,2024-05-10,0,137867,2524 SPUNKY HOLLOW RD,YP494T,YP494T,2024-07-09,1214,1214PA,PON1214PA,489-492,REMLAP,AL,35133,
00010AORX7,IF,33.854081,-86.657495,144 REID RD,OB,PNSNALMA,A02SZL1,CF ACCESS LOOP,0,0,0,0,0,1,2024-05-13,1,137911,144 REID RD,YP494T,YP494T,2024-05-13,1214,1214PA,PONPA,(1-24),TRAFFORD,AL,35172,
00011KEC32,IF,33.8498326,-86.6446815,2386 SPUNKY HOLLOW RD,OB,PNSNALMA,A02SZL1,CF ACCESS LOOP,0,0,0,0,0,0,2024-05-10,0,137868,2386 SPUNKY HOLLOW RD,YP494T,YP494T,2024-07-09,1214,1214PA,PON1214PA,485-488,REMLAP,AL,35133,
00011KEC5X,IF,33.8476146,-86.6452576,2228 SPUNKY HOLLOW RD,OB,PNSNALMA,A02SZL1,CF ACCESS LOOP,0,0,0,0,0,0,2024-05-10,0,137869,2228 SPUNKY HOLLOW RD,YP494T,YP494T,2024-07-09,1214,1214PA,PON1214PA,481-484,REMLAP,AL,35133,
